Rank,learning_rate,batch_size,hidden_sizes,dropout,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
197,0.0001,128,"[256, 128]",0.1,15,adam,0.39609169485155954,0.47597334268677655,0.4653691039803612,15,730278
198,0.005,32,"[1024, 512, 256, 128]",0.1,15,sgd,0.4866967305524239,0.4757979656260961,0.4709801858670875,15,3463846
199,0.0001,128,"[1024, 512, 256, 128]",0.3,20,adam,0.4297632468996618,0.4733426867765696,0.4595826757846747,20,3463846
200,0.001,128,"[1024, 512, 256, 128]",0.1,15,adam,0.48632093198045845,0.4729919326552087,0.4716815711029283,15,3463846
201,0.0001,64,"[1024, 512, 256, 128]",0.1,15,adam,0.4627207816610297,0.4724658014731673,0.4665965281430826,15,3463846
202,0.0001,128,"[1024, 512, 256, 128]",0.1,15,adam,0.43502442690717774,0.47193967029112593,0.4632649482728389,15,3463846
203,0.0001,32,"[512, 256, 128]",0.2,15,adam,0.4490792934986847,0.47176429323044544,0.4616868314921971,15,1554086
204,0.0005,32,"[512, 256, 128]",0.2,15,adam,0.4621946636602781,0.4707120308663627,0.4588812905488339,15,1554086
205,0.0005,128,"[512, 256, 128]",0.3,20,adam,0.43423524990605034,0.4707120308663627,0.4564264422233912,17,1554086
206,0.001,128,"[1024, 512, 256, 128]",0.2,30,adam,0.46681698609545286,0.47001052262364085,0.46308960196387866,26,3463846
207,0.0001,64,"[1024, 512, 256, 128]",0.2,15,adam,0.4412251033446073,0.4696597685022799,0.4616868314921971,15,3463846
208,0.0001,64,"[1024, 512, 256, 128]",0.3,20,adam,0.4463359639233371,0.4694843914415994,0.46308960196387866,20,3463846
209,0.0005,128,"[512, 256, 128]",0.3,15,adam,0.4230740323186772,0.4691336373202385,0.45099070664562513,15,1554086
210,0.0001,32,"[512, 256, 128]",0.3,15,adam,0.4189402480270575,0.4691336373202385,0.45467297913378923,15,1554086
211,0.005,64,"[1024, 512, 256, 128]",0.2,20,sgd,0.4445697106350996,0.46878288319887756,0.45905663685779413,20,3463846
212,0.0005,64,"[1024, 512, 256, 128]",0.2,15,adam,0.442728297632469,0.4682567520168362,0.4604594073294757,15,3463846
213,0.001,32,"[512, 256, 128]",0.2,30,sgd,0.47192784667418264,0.46755524377411434,0.4560757496054708,30,1554086
214,0.0001,32,"[256, 128]",0.3,20,adam,0.4109357384441939,0.46755524377411434,0.46081009994739613,20,730278
215,0.005,64,"[1024, 512, 256, 128]",0.2,30,sgd,0.46922209695603156,0.4672044896527534,0.4513413992635455,25,3463846
216,0.0001,128,"[1024, 512, 256, 128]",0.2,20,adam,0.446674182638106,0.46702911259207297,0.45432228651586887,20,3463846
217,0.005,32,"[256, 128]",0.3,15,sgd,0.3948139797068771,0.4668537355313925,0.45537436436963,15,730278
218,0.0001,64,"[512, 256, 128]",0.1,15,adam,0.4503945885005637,0.4668537355313925,0.46677187445204277,15,1554086
219,0.0005,128,"[512, 256, 128]",0.3,30,adam,0.4535888763622698,0.46667835847071204,0.4602840610205155,20,1554086
220,0.005,128,"[512, 256, 128]",0.1,20,sgd,0.45723412251033446,0.4663276043493511,0.44906189724706297,20,1554086
221,0.0005,128,"[1024, 512, 256, 128]",0.1,20,adam,0.4930477264186396,0.46562609610662925,0.46151148518323687,16,3463846
222,0.0001,32,"[256, 128]",0.3,15,adam,0.39992484028560693,0.4650999649245879,0.45309486235314744,15,730278
223,0.0001,64,"[512, 256, 128]",0.2,15,adam,0.4286358511837655,0.4650999649245879,0.45344555497106787,15,1554086
