Rank,learning_rate,batch_size,kernel_size,padding,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
228,0.005,128,5,1,20,adam,0.7546035325065765,0.8630305156085584,0.8674381904260915,13,1310822
229,0.005,64,3,0,15,sgd,0.9522735813603909,0.8619782532444756,0.8597229528318429,15,1310822
230,0.005,64,3,0,15,adam,0.8110484780157835,0.8614521220624343,0.8627038400841662,15,1310822
231,0.0001,32,3,0,20,sgd,0.6988726042841037,0.8611013679410733,0.8558653340347185,20,1310822
232,0.005,64,3,0,30,adam,0.825629462608042,0.8533847772711329,0.8456952481150272,23,1310822
233,0.0005,128,5,1,15,sgd,0.6681698609545283,0.8512802525429674,0.8439417850254252,15,1310822
234,0.005,32,5,1,30,adam,0.832619316046599,0.850754121360926,0.8448185165702262,19,1310822
235,0.0001,32,5,0,20,sgd,0.6681698609545283,0.8490003507541214,0.8418376293179028,20,1310822
236,0.0005,128,3,0,15,sgd,0.6901164975573093,0.848123465450719,0.8509556373838331,15,1310822
237,0.0001,32,3,1,20,sgd,0.6579481397970688,0.8446159242371097,0.8358758548132562,20,1310822
238,0.0005,128,3,0,20,adam,0.8264186396091695,0.8361978253244475,0.8318428897071717,18,1310822
239,0.0005,128,5,0,15,sgd,0.696467493423525,0.8321641529287969,0.8316675433982115,15,1310822
240,0.0001,32,5,1,20,sgd,0.6684704998121007,0.8281304805331463,0.8248290373487638,20,1310822
241,0.0005,128,3,1,15,sgd,0.6710635099586622,0.8163802174675553,0.8190426091530774,15,1310822
242,0.005,128,5,0,20,adam,0.7544532130777903,0.8132234303753069,0.8204453796247589,20,1310822
243,0.0001,32,5,0,15,sgd,0.5801578354002255,0.808312872676254,0.8048395581273015,15,1310822
244,0.0001,64,3,1,30,sgd,0.5726794438181135,0.8041038232199228,0.7934420480448886,30,1310822
245,0.0001,32,3,1,15,sgd,0.5870725291243893,0.8019992984917573,0.7987024373136945,15,1310822
246,0.0001,64,5,1,30,sgd,0.5804584742577978,0.7932304454577341,0.778537611783272,30,1310822
247,0.005,64,5,1,30,adam,0.7698233746711762,0.7921781830936514,0.7916885849552867,17,1310822
248,0.005,128,3,1,15,adam,0.7437053739195791,0.7902490354261662,0.7950201648255304,15,1310822
249,0.005,128,5,1,30,adam,0.7897031191281473,0.7898982813048053,0.783096615816237,18,1310822
250,0.0001,32,3,0,15,sgd,0.562532882375047,0.7886706418800421,0.7694196037173417,15,1310822
251,0.0001,64,3,0,30,sgd,0.5708380308154829,0.7835847071203087,0.7709977204979835,30,1310822
252,0.005,64,5,0,30,adam,0.808380308154829,0.7809540512101018,0.7813431527266351,21,1310822
253,0.005,32,3,1,20,adam,0.7803457346862082,0.7784987723605752,0.780291074872874,20,1310822
254,0.005,64,5,1,15,adam,0.7187523487410747,0.7770957558751316,0.7708223741890233,13,1310822
255,0.0001,32,5,1,15,sgd,0.5532882375046975,0.7767450017537706,0.7636331755216552,15,1310822
256,0.0001,64,5,0,30,sgd,0.5623074032318677,0.7732374605401613,0.7555672453094863,30,1310822
257,0.005,32,3,0,20,adam,0.7092446448703494,0.7385128025254297,0.7341749956163423,20,1310822
258,0.005,32,5,0,20,adam,0.7322810973318301,0.7230796211855489,0.7150622479396809,20,1310822
259,0.005,128,5,0,30,adam,0.7152950018789929,0.7113293581199579,0.7082237418902332,17,1310822
260,0.0001,64,3,0,20,sgd,0.45159714393085304,0.6936162749912311,0.6934946519375768,20,1310822
261,0.0001,64,5,1,20,sgd,0.4102968808718527,0.6808137495615574,0.6619323163247414,20,1310822
262,0.0001,64,5,0,20,sgd,0.4127771514468245,0.6748509294984216,0.6586007364544977,20,1310822
263,0.005,128,3,0,30,adam,0.7461104847801578,0.6723956506488952,0.6680694371383482,13,1310822
264,0.0001,64,3,1,20,sgd,0.38241262683201804,0.6657313223430376,0.6603541995440996,20,1310822
265,0.005,32,3,1,30,adam,0.6408493047726419,0.6301297790249035,0.6284411713133439,14,1310822
266,0.005,32,5,0,30,adam,0.7264186396091695,0.6155734829884251,0.6140627739786078,30,1310822
267,0.0001,64,3,0,15,sgd,0.31732431416760615,0.6129428270782181,0.6063475363843591,15,1310822
